numero_processo;classe;assuntos;municipio;data_ajuizamento;data_ajuizamento_hora;ultima_atualização_hora;formato;codigo;orgao_julgador;ultima_atualizaçao
6,90E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;06/09/2013;08:04:51;15:27:07;Físico;6,90E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
1,03E+17;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;22/11/2013;13:27:38;15:28:16;Físico;1,03E+17;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,05E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;10/09/2013;09:44:50;15:28:17;Físico;7,05E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,39E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;07:07:24;17:22:51;Físico;9,39E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,33E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;17/09/2013;07:15:27;17:22:54;Físico;7,33E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,56E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;15:31:55;17:22:57;Físico;9,56E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,29E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;09:04:30;17:22:58;Físico;9,29E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,30E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;10:38:14;17:23:12;Físico;9,30E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,33E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;17/09/2013;06:44:32;17:23:47;Físico;7,33E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
4,82E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;04/07/2013;07:40:43;21:01:05;Físico;4,82E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,41E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;17/09/2013;10:42:46;21:01:09;Físico;7,41E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
4,91E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;08/07/2013;09:08:22;21:00:33;Físico;4,91E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
8,08E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;30/09/2013;06:39:21;21:01:14;Físico;8,08E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,44E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;09:05:35;21:01:37;Físico;9,44E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,32E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;13:56:09;21:01:55;Físico;9,32E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
6,45E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;22/08/2013;08:28:48;21:04:12;Físico;6,45E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
4,83E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;04/07/2013;09:58:53;21:18:32;Físico;4,83E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,55E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;15:20:04;21:18:37;Físico;9,55E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,50E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;13:12:05;21:31:02;Físico;9,50E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,17E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/09/2013;08:40:41;21:32:58;Físico;7,17E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
8,04E+18;Crimes Ambientais;Indenização por Dano Ambiental;Altamira;10/09/2021;07:26:05;22:08:40;Eletrônico;8,04E+18;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
6,92E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;06/09/2013;09:16:22;22:17:12;Físico;6,92E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
5,83E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;01/08/2013;09:28:51;22:47:37;Físico;5,83E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
1,02E+17;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;22/11/2013;10:43:24;22:52:29;Físico;1,02E+17;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,48E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/09/2013;09:48:08;22:59:37;Físico;7,48E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
4,83E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;04/07/2013;08:22:20;22:59:55;Físico;4,83E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,54E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;19/09/2013;07:21:29;23:02:06;Físico;7,54E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,65E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;20/09/2013;06:11:11;23:22:32;Físico;7,65E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,30E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;13:38:52;00:59:44;Físico;9,30E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
5,80E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;01/08/2013;08:00:58;00:59:46;Físico;5,80E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,75E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;12:40:56;00:59:51;Físico;9,75E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
5,95E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;05/08/2013;09:48:41;01:00:49;Físico;5,95E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,71E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;10:01:44;01:01:23;Físico;9,71E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
4,80E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;04/07/2013;10:02:25;01:01:23;Físico;4,80E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,55E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;14:58:20;01:20:53;Físico;9,55E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
5,42E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;22/07/2013;07:49:10;01:02:10;Físico;5,42E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
4,79E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;04/07/2013;07:02:28;01:02:53;Físico;4,79E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,09E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;11/09/2013;10:38:16;02:12:51;Físico;7,09E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
5,21E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;16/07/2013;08:06:56;02:13:39;Físico;5,21E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
1,00E+17;Cumprimento de sentença;Indenização por Dano Ambiental;Altamira;21/11/2013;12:26:22;02:15:22;Físico;1,00E+17;2ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,72E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;20/09/2013;09:58:03;02:12:27;Físico;7,72E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,45E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;09:47:22;02:12:41;Físico;9,45E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,17E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/09/2013;08:59:30;02:12:45;Físico;7,17E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,37E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;06:36:26;02:13:02;Físico;9,37E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
1,00E+17;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;21/11/2013;12:08:41;02:13:06;Físico;1,00E+17;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,27E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;08:52:48;02:13:15;Físico;9,27E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,77E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;12:02:14;02:13:19;Físico;9,77E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,66E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;08:48:29;02:13:49;Físico;9,66E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,56E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;15:43:39;02:23:37;Físico;9,56E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,71E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;09:59:05;02:23:24;Físico;9,71E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,99E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;21/11/2013;10:47:09;02:28:43;Físico;9,99E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
1,02E+17;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;22/11/2013;09:43:30;02:29:00;Físico;1,02E+17;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
1,00E+17;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;21/11/2013;11:38:36;03:29:03;Físico;1,00E+17;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
6,89E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;06/09/2013;05:57:38;12:00:54;Físico;6,89E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
1,01E+17;Cumprimento de sentença;Indenização por Dano Ambiental;Altamira;21/11/2013;15:09:47;12:24:59;Físico;1,01E+17;2ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
1,00E+17;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;21/11/2013;12:00:09;14:20:21;Físico;1,00E+17;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,55E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;19/09/2013;07:40:00;14:53:03;Físico;7,55E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,64E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;20/09/2013;06:20:14;14:53:09;Físico;7,64E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,69E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;20/09/2013;07:45:12;14:54:05;Físico;7,69E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,65E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;08:29:38;15:43:45;Físico;9,65E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,28E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;09:09:19;15:43:51;Físico;9,28E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
5,04E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;11/07/2013;09:04:41;16:27:44;Físico;5,04E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,26E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;07:29:09;16:27:55;Físico;9,26E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,16E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/09/2013;06:49:06;16:31:10;Físico;7,16E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,71E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;20/09/2013;09:01:46;16:40:25;Físico;7,71E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,50E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;19/09/2013;06:23:30;16:41:18;Físico;7,50E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,45E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/09/2013;09:51:22;16:44:24;Físico;7,45E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,44E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;08:59:47;16:44:53;Físico;9,44E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,34E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;17/09/2013;08:01:46;16:45:27;Físico;7,34E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,90E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;20/11/2013;12:26:44;16:45:20;Físico;9,90E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
6,95E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;06/09/2013;09:54:13;16:45:16;Físico;6,95E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,29E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;08:39:06;16:45:17;Físico;9,29E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,53E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;14:09:17;16:45:44;Físico;9,53E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,30E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;10:53:46;16:40:38;Físico;9,30E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,42E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/09/2013;07:18:21;16:42:43;Físico;7,42E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,27E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;16/09/2013;05:32:04;16:44:42;Físico;7,27E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,67E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;20/09/2013;07:33:38;16:45:31;Físico;7,67E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,53E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;19/09/2013;06:14:34;16:45:41;Físico;7,53E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,66E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;20/09/2013;06:58:47;16:46:03;Físico;7,66E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
5,04E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;11/07/2013;08:41:47;16:51:02;Físico;5,04E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,57E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;15:02:06;16:51:24;Físico;9,57E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,41E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;07:36:39;16:51:31;Físico;9,41E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
7,19E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/09/2013;07:37:22;16:51:40;Físico;7,19E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,81E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;19/11/2013;07:01:00;17:10:41;Físico;9,81E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,22E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;06:53:45;17:34:21;Físico;9,22E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
9,76E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;13:32:20;17:43:59;Físico;9,76E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;16/10/2024 00:00
5,44E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;22/07/2013;08:26:04;10:30:49;Físico;5,44E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;21/10/2024 00:00
1,02E+17;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;22/11/2013;10:30:44;10:40:56;Físico;1,02E+17;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;21/10/2024 00:00
8,05E+18;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;01/10/2021;12:51:02;09:50:41;Eletrônico;8,05E+18;3ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;02/12/2024 00:00
8,03E+18;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;12/07/2021;06:41:33;20:16:24;Eletrônico;8,03E+18;3ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;07/01/2025 00:00
9,27E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;09:02:56;18:16:45;Físico;9,27E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
9,65E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;08:24:49;18:14:46;Físico;9,65E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
6,35E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;19/08/2013;08:33:11;18:14:46;Físico;6,35E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
5,43E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;22/07/2013;06:36:13;18:16:13;Físico;5,43E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
9,44E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;09:02:48;18:18:37;Físico;9,44E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
1,00E+17;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;21/11/2013;11:28:53;18:18:51;Físico;1,00E+17;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
9,83E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;19/11/2013;07:20:55;18:18:56;Físico;9,83E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
9,91E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;20/11/2013;12:51:13;18:19:43;Físico;9,91E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
9,33E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;14:07:28;18:20:34;Físico;9,33E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
7,27E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;16/09/2013;08:16:17;18:21:07;Físico;7,27E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
6,84E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;05/09/2013;08:49:35;18:22:51;Físico;6,84E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
7,03E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;10/09/2013;06:00:32;18:22:35;Físico;7,03E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
5,97E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;05/08/2013;10:00:00;18:23:50;Físico;5,97E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;10/01/2025 00:00
